puuid,region
8qR9tcktWKJHi6oXwUZuq9ouA7DK8aOlYmVVClEk-a3mJDti4OWmsWbBqVmfe9jS3pN9PEfDveRh4Q,ASIA
5GjTmP7lzBK0Bd8JLF1_hf_6m19_vxetN6DXpJ67s-R7MFnAAD9ZXMgbPGaKHFPUYfMhZbf_EGrZ4g,EUROPE
E7xzuYQOJZJaN7D3LFeSbYdM7etf9FDdgADtiwQDRmUFnvGwDbci13MhDSrNd6iZJ2_AbnqwRByUWw,SEA
P3T1HilgGTIgQpWBYT5X9a-ib4DLo6i-zpkDN6JWt7Nk2mc9oJggPtK_HOl-y0vmAHpbiCpyGrSpyw,SEA
x8QKL_s4TCcpqy7TxS9u_jO-UjLwV4FzVBmHmIM2A1RkBWMfW9TQTW1qlRrzm6qMhy58ZnlmLliIwg,ASIA
j2fBM6yuKOr1DIP697NG5ZROdLXjz5tfLVc-6d5nj21QdjODDlptzvGjUTkK7A53624x_pH5mGSp4Q,EUROPE
rkLgnei4UZ2BTcdGkeQit_1qxvlqZU3MDpkTjzFq7IBV6Epw-O5aCZ6vdu0cBlr8vN_kA-YP7GDVHg,EUROPE
r7qbkY5hbr6se8IgwfaAAanmTCFnsaZP7ZV-Xxb4VDC-u07yYAqUIV-ZPeRmHIxJhlQ0aD5XxpZVvw,SEA
4Ms5dpb5eEieLmx4YFx-WRSLRoHq4PvvTOgkJfQkw-sWqVwdYP-kESS5uAjSxC4cmTxrcKwiuD4-tg,AMERICAS
FNMBmZrZtS75D6Bqi1e0TbgNUv0Ps_eBoB3bPFJ2WGyLgFoFZ_iOYrk7YPkYFb94S476HNITeCNMqg,EUROPE
TtwCSn7k_Mq4dOTN2G189JNPafPFsR7lhefOWrdHRWaVa2MNr1y3a40Tsd6dmeutxZdSTwW6S0nSKg,AMERICAS
fK68wu37tibYhSgs2wru-QfLoVuad1UZ3Ra5cwF1MBRtpUKCmmy1EM0x0ocRN5OCitg8Ach1O7bq4w,SEA
b9EFcI1pFCCvF8FWvHCdZfbRqymjQ-8SH-djtho0sL_OAOe0P9YSQhXGtCGB8UiezQpRzbDEqH8KHQ,AMERICAS
-it06q6D6TkYzCZkmEiuITu9_F-zIkGCclGp8ScdEdjlXRvYSK7-7bEz76-mwAmqaecl9buj-DG-7w,EUROPE
SecLZvo9YGL74aEiGpyKu4-lrj9flDIYY_C_UTAkBKc5guZ4uiy69Sze2p5qYfTl2oqzswzjIfmiLA,EUROPE
g7QcbbotHMkPvbIQXiizTwS2U3LVPxRgiNjzBo19Mgj8W7Sa0b5tTDV0h2GboIMN3CvKH8vuqNEx6g,SEA
niuciTVDvDU7gVYbwoCcefekOIfzKEl4VEcZkNrb1vxeQrwMz6VCeeobaAE4_FGjq0q9kc0sPIL6yA,SEA
dzn56HSNyGLC-sF4fsasENKD0sHMiCiv3cMehxUfZOuGTyab25S3lUrGAuL8umI1zcMsaOBJtjaD2w,AMERICAS
UPebFvRjPoYCcJ5IKa1r8l_ipD8SF_QVg5azvyUdHpa_DG4TIcrb4dcOFrflr8UWSR7v2SOcy3xaIA,EUROPE
xy_IQ2WV5BvxjscrMWuAFPlalVQh2oPw-_pxgjknuKK3WBC6VBASMtqmY-zcShKpyGrx__wac4XgRA,ASIA
JG6kpknx2J8GLWJ16IebhfRPKEfUJ3Momw3WVTDvPAhlHn45OA4SAWeYYYzcWqBFu_HgsrNhRKp9IA,ASIA
0_OVxdXY1gUSQfHe1DQLqt8xnp_MMG3Y9fCiDsuuGqnzR2VKRFUc_URbrSM6SgMyGVRtGotwAPZrAg,EUROPE
Ai3Z4I1MmlQGHVwMYfJAKLtDCib3eHmjaRI_-Ee2gfWQY-NLAdk6WlOeesao8TkkQSscmbbqxNA2yA,AMERICAS
MDdgjCuNist4HfqMgeIiy_RmCsExe3eXlPEBRMoE2R0ULKAt6DNTJ6K6MwZh1KJpjIMgXnElFf6kpg,EUROPE
_JB-Wo7yEC7AKZSBzLw6elihjlrllVcJGPZFjl7QuTFQ0B5u096lE1SoX__BmSvMo_Q3HHO0SQAYqQ,SEA
8BtJPBxsjBuHIDLnAww8QifjmhsOkOklFpZPsFIdKMg03rQ40GnDK47b_NVJUxvPXYuGr3S3jD8XXg,AMERICAS
EszLf_WRqpL74dIM0E5cvrCrsIOIpBqXggEV465VtKy9K7QIUe9MewThXr3ZigxgAfdu4Z-7x-2Tjg,EUROPE
J8HlYwdLWaegibQd81WZ32WyLQVYlGOzqyzi-X_Lh9oT5qWeSmSXHoAbHLRK763V5JKzNZY6XE9veQ,EUROPE
iagxbG8JNdHN8KWAoUUYHJ78kF9OMlRM110YcxOQX7km0Fg9cJbg6ImbhH9l3Z7U8Q0mtkacopNPmA,ASIA
UV_vGC08fK3ejyrI7_XpvIk10LatQtmzIw66fMFRsX529hs-1nX6_Rnqi5qIjBlCiOFa16dgk9IiXQ,AMERICAS
yeIU-1qtQLiTE_jXU1B6soztfWx1uPbhDa-x1H1khI6lhYV32pakUwxCHuYuRrIzokVAEQQBnZ-riw,AMERICAS
ivetsTGnMZMY1Z_1O47yG-83AVQXmYhObD7xSJoAaHyrp2vfmvogvRjbnkvU33ohCcYZB2nvlHHvBA,SEA
aof0ZPa2riejKCz5EgD1_cmAudJI5K8Y8K8w7krkvlpArJzPv0N0p4JMX61DEDA_OiJCRZVptbCUBg,AMERICAS
Qlx9u6Z3TgJUtEFgbOhhvuw7NTxSUr2NyzP1KzXvEPlNJirI90wmoGHNarmrDfCEF2n71DhnZsukpg,EUROPE
